tour,team_home,team_away,time,champ,team_home_substitution,team_home_reserved,team_home_yellow_cards,team_home_squad,team_home_red_cards,team_away_substitution,team_away_reserved,team_away_yellow_cards,team_away_squad,team_away_red_cards,team_home_score,team_away_score,target
10,team209,team200,2009-10-28,champ6,,,,,,,,,,,2,2,0
1,team78,team305,2014-08-16,champ2,"player53008, player57594, player32518","player210378, player30078, player141322, player159795","player85805, player93565","player3347, player90442, player93565, player128227, player85805, player148515, player127160, player51547, player126627, player34363, player89095",player85805,"player193465, player171665, player81004","player187044, player60533, player62155, player166313",,"player102815, player72763, player49747, player127474, player153156, player95257, player76931, player21665, player97634, player206855, player2920",player127474,0,1,2
29,team222,team181,2017-03-04,champ1,,,,,,,,,,,0,0,0
17,team280,team97,2014-11-29,champ1,,,,,,,,,,,0,1,2
9,team174,team173,2016-09-18,champ9,,,,,,,,,,,2,1,1
22,team322,team310,2013-01-12,champ2,,,,,,,,,,,1,1,0
6,team252,team207,2012-09-22,champ3,,,,,,,,,,,2,0,1
21,team315,team297,2015-04-05,champ11,,,,,,,,,,,0,1,2
1,team158,team315,2014-08-03,champ11,"player160482, player29652, player173899",,"player142014, player63583","player19845, player199751, player203337, player63583, player92700, player68190, player63617, player144403, player195703, player50676, player142138",,"player37586, player33950, player160161",,player168220,"player35411, player6253, player168220, player27970, player173738, player109140, player66036, player135945, player40335, player77622, player44610",player168220,2,0,1
33,team6,team330,2010-05-01,champ4,,,,,,,,,,,1,2,2
31,team38,team320,2013-04-27,champ4,,,,,,,,,,,1,0,1
21,team142,team78,2014-01-11,champ2,"player19947, player204906, player88108","player102847, player178020, player105198, player48254",player112442,"player110088, player85684, player188848, player172318, player82154, player179045, player112442, player127651, player93996, player129336, player55449",,"player104995, player94159, player57665","player210378, player57594, player89033, player103810","player104995, player174419, player55843, player57619","player3347, player56129, player53008, player174419, player146943, player85826, player177828, player126627, player51547, player55032, player89095",player174419,0,2,2
23,team262,team239,2015-03-06,champ9,,,,,,,,,,,2,1,1
24,team127,team13,2015-03-07,champ0,,,,,,,,,,,0,1,2
11,team226,team115,2014-11-01,champ8,,,,,,,,,,,1,0,1
8,team66,team37,2011-09-25,champ3,"player204184, player4855",,"player66262, player153453","player205159, player66262, player15178, player92652, player92728, player105208, player98065, player98914, player20520, player141311, player153453",,"player165961, player173102, player96069",,"player113101, player82508, player119537","player132813, player113101, player143586, player98644, player112486, player9596, player144039, player82508, player157572, player119537, player68762",,1,1,0
16,team228,team336,2014-12-17,champ4,"player80492, player202991, player61679","player102981, player197060, player23135, player29244",,"player91473, player196622, player100129, player34937, player203094, player154730, player15352, player38772, player114001, player93204, player156150",,"player182655, player17410, player187470","player43714, player83584, player170620, player158414","player11111, player4946, player127064","player183151, player82705, player11111, player180759, player4946, player190487, player112668, player196732, player127064, player199388, player196060",,1,2,2
13,team62,team204,2016-12-22,champ10,,,,,,,,,,,2,1,1
24,team67,team41,2011-02-06,champ6,,,,,,,,,,,2,0,1
18,team314,team327,2015-01-18,champ8,,,,,,,,,,,1,2,2
25,team174,team110,2015-03-21,champ9,,,,,,,,,,,1,0,1
25,team229,team348,2015-03-01,champ6,,,,,,,,,,,0,0,0
34,team71,team254,2011-05-08,champ3,,,,,,,,,,,2,0,1
16,team142,team77,2013-12-14,champ2,"player121563, player48254, player82154","player102847, player188848, player88957, player88108",,"player110088, player172035, player85684, player178020, player172318, player179045, player112442, player127651, player111361, player93996, player129336",,"player22026, player164075, player39074","player62610, player100663, player119373, player42543",,"player104174, player130944, player148644, player104509, player55725, player209215, player27797, player8309, player120123, player162264, player99800",,1,0,1
12,team29,team350,2014-11-21,champ13,,,,,,,,,,,3,1,1
15,team152,team297,2011-06-22,champ11,,,,,,,,,,,0,2,2
31,team343,team254,2012-04-07,champ3,player22758,,"player74059, player9280","player9338, player9280, player54081, player97853, player142556, player34326, player156135, player117674, player167043, player74059, player190974",,"player140476, player206679, player183079",,"player173007, player29592","player88777, player172318, player11137, player25541, player50133, player173007, player29592, player103367, player27576, player61794, player188824",,1,3,2
23,team107,team40,2013-02-24,champ4,,,,,,,,,,,0,0,0
15,team158,team331,2012-11-10,champ11,"player184312, player29652, player139336",,"player66308, player29652, player70210","player19845, player51955, player84626, player66308, player99483, player92700, player173899, player70210, player129422, player16210, player142138",player66308,"player196932, player125872",,player5421,"player5421, player122591, player22592, player203711, player68327, player35679, player120995, player206185, player175627, player193686, player56586",,1,3,2
2,team127,team247,2015-08-01,champ0,,,,,,,,,,,1,2,2
36,team42,team250,2015-05-09,champ13,"player30439, player69884, player136476","player172435, player35565, player6984, player161440",player110391,"player27541, player18130, player50225, player139541, player146871, player110391, player3744, player188227, player169337, player113939, player125345",,"player199174, player184740","player169583, player23461, player157134, player205609, player2268","player46210, player22281, player154495, player134839","player154495, player109722, player114478, player109698, player212167, player22281, player46210, player143095, player134839, player75752, player34668",,2,0,1
36,team209,team139,2014-05-06,champ6,,,,,,,,,,,3,0,1
2,team350,team271,2012-08-25,champ13,"player186086, player173046, player185946",,"player7202, player32243, player159015, player150644, player90630","player7492, player150953, player34228, player119047, player76643, player159218, player35357, player99927, player32243, player90656, player7202",player7202,"player150668, player11524, player131650",,"player45199, player139919, player150644","player192423, player134945, player7710, player45199, player115433, player131526, player11211, player133563, player194267, player139919, player142714",,1,2,2
27,team42,team116,2013-03-09,champ13,"player113939, player69884, player30439",,player143540,"player139979, player143540, player50802, player7812, player110391, player3744, player166593, player181390, player159174, player172139, player37538",,"player75602, player59187, player59789",,player2122,"player11583, player132908, player4843, player163282, player69598, player13731, player2122, player40556, player32656, player140516, player125552",,2,0,1
2,team89,team188,2010-08-28,champ4,"player56187, player46322, player52156","player192691, player103652, player198698, player74059","player58117, player106532, player54737","player20738, player149474, player93711, player18201, player201024, player65180, player164297, player66427, player58117, player106532, player54737",,"player203341, player156612, player29803","player139545, player74147, player191012, player67850","player141456, player167292, player156612","player36383, player160291, player126781, player187597, player65560, player78415, player141456, player193465, player167292, player6410, player146025",,3,4,2
26,team57,team211,2012-03-03,champ3,"player57191, player175780, player19601",,player128915,"player77209, player162468, player183956, player140692, player176302, player128915, player158338, player65500, player140807, player119135, player48575",,"player47955, player46044",,player92568,"player132307, player162541, player83617, player117995, player45094, player57920, player92618, player133910, player155869, player120149, player120392",,1,2,2
9,team120,team182,2013-09-21,champ11,"player157302, player165599, player92803",,"player99701, player178391, player56339, player53487","player39734, player61271, player46033, player178391, player99701, player56339, player126728, player53487, player70210, player38664, player85172",player61271,"player104032, player173158, player173860",,"player53487, player171416, player199262","player1059, player53588, player201548, player199262, player62796, player30486, player157476, player171416, player57730, player128681, player122155",,1,3,2
9,team283,team307,2011-10-01,champ3,"player29451, player126915, player15418",,,"player149761, player88501, player114277, player165925, player136778, player77600, player10061, player109281, player143448, player103810, player30596",,"player58089, player147226, player29724",,"player164610, player148332","player965, player86963, player103268, player1285, player126428, player52088, player170875, player164872, player27310, player76931, player148332",,3,0,1
10,team163,team211,2010-10-23,champ3,,,,,,,,,,,1,0,1
17,team279,team343,2013-12-08,champ3,,,,,,,,,,,1,0,1
10,team69,team207,2009-10-31,champ3,,,,,,,,,,,1,2,2
8,team314,team101,2014-10-04,champ8,,,,,,,,,,,2,3,2
20,team329,team250,2014-01-19,champ13,,,,,,,,,,,2,2,0
14,team53,team90,2010-11-20,champ2,,,,,,,,,,,2,1,1
15,team283,team202,2011-11-26,champ3,"player74830, player142965, player114277",,,"player149761, player88501, player165925, player66886, player77600, player109281, player126915, player143448, player29451, player30596, player15418",,"player167786, player53768, player173397",,,"player65442, player25658, player209700, player68920, player19367, player107472, player20362, player156289, player180512, player64560, player74937",,1,3,2
10,team55,team282,2009-10-28,champ6,,,,,,,,,,,2,1,1
27,team237,team309,2013-03-03,champ6,,,,,,,,,,,0,1,2
1,team0,team231,2017-08-20,champ5,,,,,,,,,,,2,0,1
15,team316,team284,2016-12-04,champ8,,,,,,,,,,,6,1,1
15,team352,team302,2012-12-01,champ6,,,,,,,,,,,3,0,1
32,team330,team40,2012-04-21,champ4,,,,,,,,,,,0,1,2
4,team250,team271,2012-09-16,champ13,"player152596, player10835, player71372",,"player22281, player34668, player46926","player27541, player45327, player70044, player212167, player22281, player46926, player69129, player170136, player207998, player2268, player34668",,"player11211, player11524, player5645",,player115433,"player192423, player134945, player45280, player170669, player115433, player131526, player118036, player194267, player14566, player169709, player142714",,2,0,1
14,team38,team64,2013-11-30,champ4,,,,,,,,,,,2,0,1
34,team352,team55,2014-04-19,champ6,,,,,,,,,,,1,0,1
2,team66,team221,2010-08-14,champ3,,,,,,,,,,,1,1,0
1,team116,team271,2010-08-29,champ13,"player32656, player148999, player160024",,,"player107235, player132908, player118827, player100249, player86050, player10616, player47707, player194940, player116438, player3347, player180378",,"player96439, player27828, player204734",,player39369,"player186763, player59177, player87528, player210235, player128880, player194063, player207430, player23253, player39388, player141984, player108525",,0,0,0
22,team262,team126,2016-02-12,champ9,,,,,,,,,,,0,0,0
13,team7,team46,2015-12-14,champ10,,,,,,,,,,,4,3,1
7,team308,team294,2015-08-30,champ14,,,,,,,,,,,0,2,2
6,team200,team41,2009-09-27,champ6,,,,,,,,,,,0,0,0
5,team59,team341,2014-09-24,champ4,"player145812, player195915, player48632","player95454, player43643, player109914, player61843","player134626, player169649","player32023, player134626, player201943, player169649, player21044, player73007, player71799, player47258, player140624, player69222, player128492",,"player67204, player126069, player88846","player82727, player146509, player41290, player188655","player131526, player42505","player179335, player156347, player200279, player155417, player97130, player47348, player131586, player84000, player42505, player57969, player35788",,2,2,0
16,team198,team57,2014-12-03,champ3,,,,,,,,,,,0,0,0
21,team320,team6,2011-02-06,champ4,,,,,,,,,,,0,0,0
20,team291,team192,2015-01-01,champ2,player13630,"player18438, player17171, player196347, player178547, player2680, player200936",,"player19325, player140352, player120495, player202592, player93826, player178277, player122320, player12328, player59438, player179940, player90965",,"player210061, player207430, player146634","player98553, player24653, player185233, player178436",,"player212043, player202476, player55612, player204140, player165515, player209629, player78186, player110693, player181753, player210836, player154669",,1,1,0
24,team316,team226,2017-02-26,champ8,,,,,,,,,,,2,1,1
3,team318,team166,2010-09-18,champ6,,,,,,,,,,,1,2,2
14,team339,team173,2014-11-02,champ9,,,,,,,,,,,1,1,0
1,team320,team188,2012-08-25,champ4,"player185510, player186677, player74445",,,"player18673, player57607, player166714, player196746, player143851, player202007, player91473, player203432, player43643, player42161, player104779",,"player204517, player142405, player149386",,"player121791, player82749","player36383, player126781, player82749, player29803, player167292, player74147, player18740, player67850, player121834, player156612, player199388",,1,1,0
15,team161,team75,2009-12-06,champ4,,,,,,,,,,,0,0,0
21,team278,team290,2016-12-27,champ1,,,,,,,,,,,2,2,0
9,team308,team186,2014-09-23,champ14,,,,,,,,,,,3,2,1
17,team347,team189,2013-12-20,champ13,,,,,,,,,,,0,1,2
21,team60,team40,2013-02-09,champ4,,,,,,,,,,,3,3,0
32,team306,team227,2013-04-13,champ3,,,,,,,,,,,0,1,2
30,team266,team213,2013-03-17,champ2,,,,,,,,,,,1,1,0
20,team207,team178,2013-01-12,champ3,,,,,,,,,,,2,2,0
8,team59,team33,2011-10-01,champ4,"player17842, player47258, player210977",,"player20943, player49110","player32023, player195915, player182655, player49110, player138331, player24518, player21044, player103197, player140624, player48937, player96879",,"player35788, player95313, player144962",,"player14983, player194504","player63214, player211402, player74763, player158513, player113513, player194504, player28378, player49604, player20126, player14983, player121940",,4,0,1
24,team158,team300,2014-04-04,champ11,,,,,,,,,,,2,0,1
37,team208,team279,2014-05-10,champ3,,,,,,,,,,,1,3,2
7,team83,team91,2014-08-29,champ9,,,,,,,,,,,1,0,1
5,team337,team79,2015-08-22,champ1,,,,,,,,,,,0,0,0
7,team64,team341,2013-09-29,champ4,,,,,,,,,,,0,4,2
11,team133,team76,2014-11-09,champ6,,,,,,,,,,,2,2,0
6,team117,team209,2013-09-28,champ6,,,,,,,,,,,0,2,2
11,team176,team322,2013-11-09,champ2,"player194363, player6603, player117138","player55725, player100818, player160263, player168383",,"player115637, player164717, player201695, player56091, player2075, player89449, player191287, player101490, player55220, player169337, player168028",,"player154271, player196414, player77012","player168558, player170825, player24817, player21602",player135296,"player168152, player149695, player66146, player8944, player160792, player162795, player79410, player135296, player80398, player52156, player22118",,4,0,1
2,team37,team227,2012-08-19,champ3,,,,,,,,,,,0,0,0
5,team152,team120,2013-08-18,champ11,"player108596, player201331, player124604",,,"player184718, player9455, player109910, player74110, player176724, player106084, player33380, player64671, player1668, player111701, player40044",,"player38664, player62872, player134446",,,"player22395, player183228, player46033, player99701, player198900, player56339, player208822, player78691, player126728, player53487, player165599",,1,1,0
18,team205,team197,2015-12-05,champ1,,,,,,,,,,,2,3,2
5,team201,team227,2009-09-13,champ3,,,,,,,,,,,2,0,1
7,team311,team48,2015-12-15,champ10,,,,,,,,,,,0,0,0
31,team89,team33,2012-04-14,champ4,,,,,,,,,,,1,2,2
6,team99,team320,2009-09-20,champ4,,,,,,,,,,,0,4,2
20,team269,team161,2011-01-29,champ4,,,,,,,,,,,3,0,1
23,team206,team226,2016-02-14,champ8,,,,,,,,,,,0,3,2
21,team310,team191,2012-01-16,champ2,"player180339, player57138, player104247","player141611, player45783, player25598, player170648","player104393, player104968, player184220","player210519, player7869, player85557, player167711, player184220, player104968, player91654, player44929, player104393, player117138, player150437",,"player211369, player131180, player55934","player134240, player85386, player189816","player155778, player115177","player190069, player97989, player156031, player83807, player155778, player115177, player31559, player163203, player124287, player2536, player54737",,0,1,2
23,team249,team116,2015-02-14,champ13,"player101592, player77402, player191826","player123382, player112593, player207196","player124724, player11733","player79128, player33641, player31214, player109113, player124724, player11733, player91252, player69129, player152301, player21332, player70941",,"player205170, player112610, player59789","player49338, player75930, player37209","player26977, player96272","player181419, player132908, player96272, player100751, player100249, player22188, player26977, player101582, player93498, player148674, player72786",,2,0,1
3,team229,team133,2014-09-21,champ6,,,,,,,,,,,1,1,0
2,team322,team52,2009-11-25,champ2,,,,,,,,,,,3,0,1
14,team163,team207,2009-11-21,champ3,,,,,,,,,,,2,1,1
25,team60,team320,2012-03-10,champ4,,,,,,,,,,,0,0,0
19,team72,team250,2012-01-14,champ13,"player193942, player65025, player6369",,,"player58245, player145414, player51955, player156906, player174778, player182419, player16609, player133075, player135187, player111494, player3920",,"player34668, player107774, player77718",,,"player27541, player114541, player53054, player73028, player205609, player46926, player143095, player11403, player170136, player207998, player2268",,0,1,2
19,team197,team98,2014-12-12,champ1,,,,,,,,,,,0,0,0
13,team324,team78,2009-11-21,champ2,,,,,,,,,,,3,3,0
16,team133,team333,2011-01-19,champ6,,,,,,,,,,,3,2,1
1,team176,team23,2012-09-02,champ2,,,,,,,,,,,0,2,2
19,team111,team171,2014-12-14,champ9,,,,,,,,,,,3,1,1
24,team104,team332,2016-03-13,champ14,,,,,,,,,,,4,2,1
4,team42,team289,2010-09-22,champ13,"player139541, player136476, player110391",,"player114854, player139541","player32937, player143540, player114858, player105299, player50802, player30439, player69884, player81126, player188227, player90965, player37538",,"player79913, player212277, player7412",,"player93339, player110697, player23933, player27147, player148177","player93424, player27147, player194129, player67508, player159965, player148238, player100326, player110697, player23933, player118554, player17716",,1,0,1
30,team283,team194,2010-04-14,champ3,,,,,,,,,,,0,1,2
2,team81,team190,2009-09-13,champ13,,,,,,,,,,,1,1,0
10,team293,team56,2011-10-29,champ2,player120749,"player176245, player118588, player131590, player154920, player149617, player98798","player28534, player145962, player44023","player38589, player178890, player172018, player117707, player145991, player28534, player49850, player6603, player44023, player47431, player164075",,"player150154, player73789, player83275","player25243, player123645, player119769, player62261","player142811, player41156, player150083, player62044","player210378, player168083, player94365, player179019, player68047, player138896, player41156, player62351, player149289, player142811, player124885",player41156,3,1,1
21,team273,team77,2014-01-11,champ2,"player145621, player180227, player59519","player62314, player71959, player193151, player40352",,"player26600, player83119, player99188, player64940, player88062, player202476, player202220, player62464, player94920, player95162, player150754",,"player22026, player42543, player39074","player104174, player100663, player209215, player164075",player130834,"player186397, player130944, player148644, player104509, player148572, player119373, player27797, player8309, player120123, player99800, player10034",,1,0,1
12,team117,team229,2014-11-24,champ6,,,,,,,,,,,1,1,0
37,team272,team117,2014-05-11,champ6,,,,,,,,,,,4,2,1
4,team336,team188,2015-09-13,champ4,,,,,,,,,,,2,1,1
31,team160,team144,2012-04-07,champ6,,,,,,,,,,,3,2,1
22,team342,team293,2013-01-12,champ2,,,,,,,,,,,0,0,0
19,team176,team90,2009-12-26,champ2,,,,,,,,,,,2,0,1
11,team59,team60,2014-11-09,champ4,"player47258, player43643, player69222","player95454, player201943, player48937, player145812","player61843, player134626, player69222","player32023, player134626, player169649, player121534, player81416, player21044, player73007, player140624, player151466, player128492, player61843",,"player35053, player4164, player175895","player188920, player28699, player56187, player194655","player127332, player89949","player166369, player59764, player210137, player203031, player191769, player91473, player127332, player89949, player87796, player189462, player146735",,1,0,1
9,team255,team340,2014-09-20,champ0,,,,,,,,,,,0,1,2
20,team188,team38,2013-02-02,champ4,,,,,,,,,,,0,3,2
2,team329,team102,2015-08-30,champ13,,,,,,,,,,,1,2,2
15,team125,team110,2014-11-09,champ9,,,,,,,,,,,1,2,2
32,team318,team229,2012-04-11,champ6,,,,,,,,,,,0,0,0
18,team248,team271,2012-01-07,champ13,"player157717, player197220, player120250",,player11343,"player174679, player164412, player7710, player207759, player175417, player134715, player11343, player86192, player5498, player3484, player169076",,"player114309, player17749, player131526",,"player174301, player112763","player192423, player195635, player134945, player112763, player211021, player174301, player139919, player142714, player100903, player194831, player96439",,1,0,1
30,team342,team191,2013-03-16,champ2,,,,,,,,,,,2,0,1
26,team317,team335,2017-03-19,champ10,,,,,,,,,,,3,2,1
25,team307,team283,2012-02-26,champ3,"player170875, player164872, player27310",,"player148332, player1285, player103268","player965, player86963, player103268, player1285, player126428, player111942, player58089, player164288, player147226, player76931, player148332",,"player142965, player61172, player62044",,player109281,"player91265, player88501, player210456, player165925, player138356, player136778, player109281, player29451, player74830, player103810, player15418",,2,0,1
33,team27,team322,2014-04-05,champ2,"player174528, player18893","player168476, player83225, player101973, player163332, player150083","player21461, player36222, player130516","player48733, player19473, player21472, player38185, player23396, player100548, player15670, player130516, player36222, player32139, player193372",,"player52156, player150437, player148798","player168152, player80839, player150010, player80398","player162795, player193465","player168558, player190855, player189546, player149695, player8944, player149474, player162795, player79410, player57747, player193465, player38924",,1,2,2
30,team330,team93,2012-04-11,champ4,,,,,,,,,,,4,0,1
24,team27,team214,2013-01-29,champ2,,,,,,,,,,,1,2,2
10,team161,team93,2010-10-30,champ4,,,,,,,,,,,3,2,1
30,team7,team123,2015-04-25,champ10,,,,,,,,,,,1,2,2
2,team316,team327,2014-08-15,champ8,,,,,,,,,,,1,1,0
19,team329,team246,2014-01-12,champ13,,,,,,,,,,,0,1,2
12,team116,team250,2014-11-22,champ13,,,,,,,,,,,0,0,0
20,team30,team169,2013-01-20,champ13,"player58526, player41523, player177014",,player39369,"player93032, player44322, player184535, player115786, player188422, player177781, player84851, player39369, player99949, player181753, player150818",,"player17284, player195028, player153206",,"player99930, player116378, player120363, player16045","player120363, player122955, player16045, player100102, player97318, player205821, player134715, player41507, player67349, player116438, player109792",,2,0,1
36,team178,team283,2011-05-18,champ3,,,,,,,,,,,1,0,1
19,team188,team320,2012-01-29,champ4,"player71556, player82749, player18740",,"player126781, player29803","player36383, player142405, player126781, player29803, player65560, player167292, player74147, player141456, player121834, player156612, player199388",,"player144868, player182891, player186677",,"player43643, player202007","player18673, player91003, player57607, player101850, player166714, player202007, player43643, player74223, player151351, player104779, player63200",player57607,3,1,1
7,team293,team251,2012-10-06,champ2,,,,,,,,,,,2,2,0
17,team60,team93,2010-12-17,champ4,,,,,,,,,,,1,2,2
1,team249,team72,2012-08-19,champ13,"player7299, player21332, player74713","player2823, player109113, player73659, player190683",,"player79128, player137575, player161921, player11733, player188014, player57031, player57730, player129771, player89810, player152301, player68501",,"player144295, player135187, player32937","player145414, player17576, player7047","player182419, player154253, player137921, player144295","player58245, player39889, player137921, player154253, player148910, player182419, player47707, player111494, player173402, player65025, player166313",,1,1,0
32,team163,team183,2015-04-12,champ3,,,,,,,,,,,0,0,0
13,team265,team160,2009-11-22,champ6,,,,,,,,,,,2,1,1
24,team158,team303,2014-11-29,champ11,,,,,,,,,,,1,1,0
9,team135,team27,2014-10-27,champ2,"player193212, player175769, player90050","player122009, player192130, player183000, player184660",,"player47044, player85684, player208423, player71007, player50900, player158265, player191482, player132360, player33769, player65870, player182881",,"player89033, player21602","player43164, player130098, player149695, player15670, player122453","player32139, player100548","player48733, player38185, player83225, player164717, player100548, player83465, player36222, player159247, player32139, player2014, player21744",,2,0,1
28,team108,team86,2016-03-20,champ8,,,,,,,,,,,0,3,2
18,team23,team324,2009-12-19,champ2,,,,,,,,,,,3,0,1
20,team171,team244,2015-12-13,champ9,,,,,,,,,,,1,1,0
24,team336,team215,2011-02-26,champ4,,,,,,,,,,,1,1,0
7,team227,team283,2012-09-29,champ3,,,,,,,,,,,2,0,1
3,team50,team190,2011-09-11,champ13,"player900, player530, player158685",,player8218,"player79705, player8218, player60132, player198760, player21836, player157024, player70615, player118174, player124810, player194078, player153723",,"player79884, player80898, player173563",,"player78775, player139790, player198795","player1810, player67007, player145767, player198795, player78802, player64721, player139790, player173046, player127609, player191124, player8051",,1,0,1
2,team30,team29,2012-08-27,champ13,"player3558, player58526, player177781",,"player184385, player115786, player39369","player93032, player44322, player184535, player115786, player169486, player84851, player39369, player195525, player177014, player181753, player150818",,"player44929, player120695, player154253",,"player48383, player138096","player70390, player158020, player70537, player71325, player170315, player138161, player48383, player207430, player211557, player71034, player3920",,4,0,1
9,team275,team187,2016-10-15,champ12,,,,,,,,,,,2,0,1
13,team339,team151,2016-10-22,champ9,,,,,,,,,,,2,2,0
22,team322,team214,2012-01-21,champ2,"player31307, player186935","player208044, player196414, player28269, player42872, player56214",,"player168558, player81329, player148798, player189546, player160792, player162795, player51628, player121991, player53339, player154211, player65870",,"player138539, player45760, player177872","player205423, player128608, player182907, player99042","player158825, player41792, player163813, player91587","player91587, player86142, player158825, player163813, player37672, player72109, player41792, player20488, player48483, player23526, player8753",,5,2,1
17,team332,team39,2014-11-30,champ14,,,,,,,,,,,1,2,2
8,team160,team318,2012-10-21,champ6,,,,,,,,,,,1,1,0
19,team60,team40,2011-01-23,champ4,"player111102, player191769, player29182","player202722, player11461, player210137",player111102,"player188920, player62557, player127332, player51058, player203031, player151466, player127064, player108749, player51764, player189686, player68604",,"player15946, player53749, player15924","player43714, player36527, player71865",,"player3122, player200258, player73128, player79884, player144945, player196668, player151705, player170620, player36602, player147815, player82889",,1,3,2
20,team222,team280,2014-12-20,champ1,,,,,,,,,,,2,0,1
23,team274,team42,2014-02-09,champ13,,,,,,,,,,,1,4,2
13,team201,team343,2013-11-08,champ3,,,,,,,,,,,1,1,0
30,team56,team52,2012-03-24,champ2,player83275,"player210378, player6722, player123645, player68047, player62261, player166736",,"player25243, player149190, player168083, player148951, player179019, player138896, player62351, player149289, player142811, player116586, player124885",,player50900,"player16690, player131624, player139012, player38955, player116823, player47812","player130834, player100473","player150154, player130834, player62687, player196533, player136220, player122320, player130834, player100473, player186118, player193212, player4551",,2,1,1
33,team80,team316,2016-05-01,champ8,,,,,,,,,,,0,1,2
18,team337,team290,2014-12-07,champ1,,,,,,,,,,,0,1,2
22,team87,team14,2013-03-31,champ11,,,,,,,,,,,1,1,0
31,team38,team188,2012-04-14,champ4,,,,,,,,,,,0,0,0
20,team30,team274,2014-01-19,champ13,,,,,,,,,,,1,1,0
6,team342,team214,2013-09-30,champ2,"player52499, player125417, player168686","player150294, player190855, player63060, player87136","player19589, player115724, player31559","player192998, player19589, player209034, player59360, player89290, player115724, player104968, player31429, player132167, player31559, player101149",,"player37672, player72109, player164568","player205423, player50078, player128608, player8693",player173474,"player91587, player86142, player158825, player10160, player209700, player164872, player20488, player52037, player173474, player48575, player147774",,3,2,1
19,team268,team308,2016-02-07,champ14,,,,,,,,,,,1,2,2
6,team23,team56,2011-09-24,champ2,"player12958, player152817, player199697","player181133, player9755, player187128, player130269",,"player203838, player159413, player89723, player43014, player113572, player12818, player155338, player166593, player210836, player64000, player179782",,"player62261, player27280, player62351","player25243, player41156, player73789, player199786",player168083,"player210378, player168083, player150154, player123645, player179019, player119769, player68047, player138896, player149289, player142811, player124885",player179019,3,0,1
6,team211,team71,2013-09-22,champ3,,,,,,,,,,,4,0,1
36,team233,team133,2012-05-02,champ6,,,,,,,,,,,3,1,1
16,team258,team41,2010-12-12,champ6,,,,,,,,,,,1,0,1
17,team166,team133,2012-12-15,champ6,,,,,,,,,,,1,0,1
35,team200,team302,2013-05-05,champ6,,,,,,,,,,,1,0,1
36,team169,team246,2013-05-19,champ13,,,,,,,,,,,2,3,2
1,team350,team329,2015-08-22,champ13,,,,,,,,,,,1,0,1
33,team209,team166,2014-04-13,champ6,,,,,,,,,,,4,2,1
4,team40,team113,2015-09-12,champ4,,,,,,,,,,,0,1,2
16,team233,team55,2009-12-13,champ6,,,,,,,,,,,2,1,1
1,team28,team76,2014-08-31,champ6,,,,,,,,,,,0,0,0
15,team350,team102,2014-12-14,champ13,,,,,,,,,,,2,1,1
30,team307,team211,2010-03-28,champ3,,,,,,,,,,,0,2,2
17,team176,team23,2009-12-13,champ2,,,,,,,,,,,1,2,2
2,team136,team38,2010-08-27,champ4,"player33109, player194612, player203190","player176059, player29352, player201259, player9017",player68807,"player66518, player71552, player8597, player150573, player58765, player82691, player173703, player23891, player68807, player94771, player125606",player68807,"player91252, player142784, player44929","player90295, player132621, player173386, player6860",player121791,"player30622, player87472, player94998, player210600, player14736, player210560, player200351, player148113, player130709, player83884, player121791",,2,0,1
28,team40,team320,2012-03-31,champ4,,,,,,,,,,,0,2,2
12,team102,team12,2014-11-24,champ13,,,,,,,,,,,0,0,0
22,team181,team290,2016-01-17,champ1,,,,,,,,,,,0,2,2
14,team189,team81,2011-11-28,champ13,"player210737, player68070, player29888",,"player176788, player72344, player29888","player72344, player110739, player117962, player162119, player53256, player176788, player79340, player61479, player183392, player70941, player152450",,"player117216, player160920, player194446",,"player10835, player28939, player153560, player45340, player138096","player58691, player45392, player192851, player121104, player10835, player107965, player138199, player26771, player29053, player211310, player153560",,2,1,1
36,team139,team333,2011-05-08,champ6,,,,,,,,,,,0,2,2
24,team81,team116,2010-02-28,champ13,,,,,,,,,,,1,0,1
26,team215,team336,2013-03-16,champ4,,,,,,,,,,,3,0,1
30,team71,team57,2010-04-28,champ3,,,,,,,,,,,2,0,1
24,team91,team262,2015-03-16,champ9,,,,,,,,,,,0,1,2
18,team191,team251,2012-12-22,champ2,,,,,,,,,,,1,0,1
13,team1,team327,2015-11-21,champ8,,,,,,,,,,,3,1,1
17,team133,team200,2013-12-22,champ6,"player84419, player92151, player68718","player79531, player78236, player9875, player179800, player145879, player157858, player119833, player137927, player20334","player65212, player151643","player189625, player65039, player56731, player65258, player75479, player151643, player123467, player47734, player75245, player171107, player133623",,"player206303, player111156, player136027","player87682, player39499, player112849, player56676, player127510, player90575","player87447, player16142","player1204, player51893, player159491, player26126, player141529, player73659, player211427, player120280, player87447, player159620, player16142",player120280,1,0,1
24,team36,team346,2016-02-21,champ8,,,,,,,,,,,3,0,1
20,team102,team220,2014-01-18,champ13,,,,,,,,,,,0,0,0
24,team303,team129,2015-03-15,champ11,,,,,,,,,,,1,1,0
26,team188,team161,2010-03-13,champ4,,,,,,,,,,,1,0,1
23,team6,team341,2014-03-02,champ4,,,,,,,,,,,2,1,1
9,team140,team1,2015-10-17,champ8,,,,,,,,,,,1,1,0
22,team93,team75,2012-02-18,champ4,,,,,,,,,,,1,3,2
3,team333,team175,2010-09-19,champ6,,,,,,,,,,,1,0,1
